Node_ID,Trust_Direct,Trust_Indirect,Trust_Overall,Attack_Type,Malicious_Prob,Trans_Rate,PDR (%),Delay (ms),Energy (mJ),Path_Selected,Packet_Loss (%),Anomaly_Score,Label
N94,0.712,0.416,0.564,Normal,0.56,26,59.35,15.28,4.805,P3->P14->P28,2.73,0.391,0
N30,0.835,0.578,0.706,Normal,0.404,22,90.67,11.42,0.756,P9->P12->P21,9.03,0.941,0
N133,0.554,0.215,0.384,Packet Drop,0.356,31,98.83,35.61,1.167,P3->P18->P25,28.58,0.631,0
N82,0.862,0.579,0.72,Selective Forwarding,0.478,65,84.94,16.28,4.801,P9->P18->P29,15.31,0.835,0
N130,0.992,0.923,0.958,Sybil Attack,0.377,99,51.64,26.84,0.648,P1->P13->P30,20.44,0.079,0
N120,0.628,0.281,0.454,Sybil Attack,0.677,23,90.14,5.24,4.205,P3->P18->P26,33.49,0.287,1
N151,0.703,0.777,0.74,Data Tampering,0.867,87,52.93,8.53,1.255,P1->P14->P30,40.88,0.399,1
N196,0.824,0.699,0.762,Data Tampering,0.249,36,93.7,8.97,2.38,P2->P15->P21,20.71,0.493,0
N109,0.704,0.604,0.654,Sybil Attack,0.328,97,90.84,48.81,4.697,P9->P14->P23,39.31,0.071,0
N87,0.342,0.26,0.301,Normal,0.893,25,62.17,42.13,0.515,P5->P13->P22,29.59,0.877,0
N97,0.845,0.285,0.565,Normal,0.576,63,62.72,28.02,1.31,P8->P13->P22,38.7,0.109,0
N124,0.557,0.484,0.52,Normal,0.764,56,88.56,19.73,2.348,P9->P12->P24,23.46,0.955,0
N194,0.723,0.443,0.583,Normal,0.799,20,64.65,20.92,1.669,P8->P11->P22,3.51,0.465,0
N170,0.53,0.294,0.412,Normal,0.711,52,64.96,46.54,3.109,P5->P16->P25,1.98,0.112,0
N112,0.976,0.909,0.942,Normal,0.539,95,87.17,23.1,4.733,P2->P13->P30,4.19,0.984,0
N82,0.773,0.249,0.511,Packet Drop,0.788,73,94.8,9.59,3.326,P8->P18->P26,47.82,0.053,1
N13,0.708,0.628,0.668,Normal,0.703,98,73.58,15.86,0.693,P9->P19->P25,35.42,0.22,0
N10,0.845,0.295,0.57,Normal,0.16,73,51.57,29.3,4.459,P7->P18->P29,28.15,0.257,0
N126,0.623,0.942,0.782,Packet Drop,0.39,47,78.92,10.21,3.325,P7->P19->P23,14.82,0.856,0
N171,0.446,0.562,0.504,Sybil Attack,0.943,26,99.62,36.7,1.428,P3->P13->P26,11.42,0.533,1
N36,0.629,0.563,0.596,Data Tampering,0.586,69,52.49,13.25,4.101,P3->P15->P29,23.22,0.682,1
N73,0.988,0.707,0.847,Normal,0.429,21,98.72,14.88,0.796,P4->P18->P25,18.63,0.391,0
N126,0.903,0.784,0.844,Normal,0.008,21,65.17,28.64,3.001,P3->P11->P26,49.55,0.334,0
N197,0.549,0.905,0.727,Normal,0.961,78,99.7,49.92,1.103,P7->P12->P30,2.88,0.487,0
N137,0.996,0.955,0.976,Packet Drop,0.782,26,63.85,11.7,4.668,P9->P16->P30,18.39,0.764,1
N135,0.808,0.931,0.87,Normal,0.38,42,84.9,9.5,2.67,P6->P12->P26,31.84,0.978,0
N189,0.545,0.742,0.644,Normal,0.872,83,80.88,42.72,2.463,P4->P19->P27,33.31,0.36,0
N153,0.415,0.201,0.308,Normal,0.315,96,91.39,14.99,1.963,P3->P11->P23,29.87,0.118,0
N104,0.534,0.605,0.57,Normal,0.755,41,78.44,36.39,4.697,P6->P14->P25,8.49,0.636,0
N114,0.264,0.976,0.62,Packet Drop,0.897,76,74.58,21.39,1.934,P5->P12->P28,57.83,0.907,1
N81,0.964,0.424,0.694,Normal,0.272,54,67.96,26.22,3.643,P6->P16->P21,4.63,0.982,0
N87,0.462,0.983,0.722,Normal,0.385,81,79.68,13.96,2.787,P6->P12->P27,23.91,0.82,0
N190,0.827,0.303,0.565,Normal,0.304,25,55.77,31.96,1.742,P5->P11->P27,14.72,0.957,0
N117,0.596,0.91,0.753,Packet Drop,0.488,75,93.41,20.25,4.412,P4->P16->P24,47.1,0.883,0
N20,0.606,0.575,0.59,Packet Drop,0.318,93,68.91,37.21,3.108,P3->P17->P27,1.72,0.012,0
N114,0.78,0.45,0.615,Sybil Attack,0.098,85,53.65,8.63,2.443,P2->P20->P26,36.7,0.431,0
N59,0.564,0.605,0.584,Selective Forwarding,0.955,34,86.59,45.98,3.889,P7->P19->P24,40.09,0.124,1
N24,0.725,0.696,0.71,Normal,0.821,75,53.4,31.78,2.45,P4->P17->P21,34.39,0.742,0
N149,0.531,0.621,0.576,Data Tampering,0.046,71,50.37,13.41,1.463,P1->P19->P28,43.0,0.949,0
N198,0.245,0.522,0.384,Normal,0.231,69,88.15,6.68,1.408,P10->P11->P29,25.35,0.869,0
N73,0.577,0.568,0.572,Packet Drop,0.795,83,88.77,46.94,2.946,P8->P12->P30,4.58,0.23,1
N154,0.486,0.869,0.678,Normal,0.303,84,81.49,27.39,4.039,P9->P15->P23,49.71,0.274,0
N115,0.328,0.887,0.608,Normal,0.945,45,90.15,23.61,4.018,P3->P11->P30,23.28,0.902,0
N195,0.278,0.723,0.5,Normal,0.356,81,62.45,25.97,2.865,P9->P19->P27,49.58,0.68,0
N64,0.477,0.477,0.477,Data Tampering,0.563,91,75.58,36.86,4.657,P10->P19->P28,3.21,0.048,1
N97,0.241,0.858,0.55,Normal,0.475,77,81.58,43.42,1.229,P5->P20->P25,55.03,0.657,0
N41,0.222,0.487,0.354,Packet Drop,0.115,96,83.46,23.98,3.853,P7->P17->P30,17.41,0.272,0
N194,0.532,0.348,0.44,Normal,0.459,39,80.59,22.6,1.48,P1->P15->P27,18.61,0.726,0
N39,0.804,0.623,0.714,Normal,0.98,62,56.89,30.53,3.685,P7->P18->P28,47.98,0.99,0
N198,0.791,0.748,0.77,Normal,0.062,55,94.61,6.2,0.532,P7->P12->P23,32.94,0.363,0
N99,0.654,0.294,0.474,Normal,0.985,89,96.23,31.8,4.742,P6->P12->P30,46.61,0.218,0
N151,0.256,0.241,0.248,Normal,0.573,28,64.95,17.82,2.095,P7->P16->P27,55.02,0.065,0
N48,0.371,0.861,0.616,Normal,0.237,52,63.69,37.12,2.756,P6->P15->P27,19.2,0.798,0
N17,0.528,0.857,0.692,Normal,0.946,20,85.22,13.23,4.599,P10->P16->P21,40.93,0.063,0
N88,0.395,0.589,0.492,Sybil Attack,0.04,60,71.06,27.8,4.033,P3->P13->P22,33.89,0.653,0
N88,0.563,0.215,0.389,Normal,0.196,86,75.57,33.74,1.579,P8->P17->P26,28.9,0.854,0
N22,0.617,0.589,0.603,Normal,0.418,74,69.01,7.81,0.718,P3->P15->P30,47.03,0.813,0
N18,0.29,0.956,0.623,Normal,0.702,12,55.23,42.07,1.463,P5->P14->P23,50.84,0.256,0
N51,0.567,0.79,0.678,Normal,0.853,29,83.21,21.88,2.958,P7->P12->P28,4.14,0.188,0
N135,0.763,0.732,0.748,Data Tampering,0.037,66,59.78,46.52,2.651,P1->P12->P24,35.57,0.615,0
N137,0.634,0.36,0.497,Normal,0.115,70,61.95,19.3,1.914,P9->P11->P28,52.91,0.432,0
N109,0.295,0.478,0.386,Normal,0.487,15,94.32,25.72,2.027,P5->P19->P30,17.65,0.89,0
N38,0.364,0.32,0.342,Normal,0.983,42,91.54,12.79,2.447,P1->P15->P21,35.24,0.655,0
N39,0.506,0.614,0.56,Normal,0.964,98,69.25,42.57,2.354,P8->P14->P25,30.08,0.631,0
N19,0.454,0.954,0.704,Data Tampering,0.923,83,67.44,16.07,4.824,P10->P20->P21,17.56,0.675,1
N87,0.661,0.522,0.592,Packet Drop,0.18,38,90.94,34.55,3.073,P4->P11->P22,20.92,0.635,0
N24,0.731,0.809,0.77,Sybil Attack,0.704,21,75.78,10.72,3.074,P4->P11->P28,41.51,0.529,1
N159,0.521,0.232,0.376,Normal,0.422,90,50.97,30.27,0.702,P2->P12->P23,55.1,0.128,0
N56,0.444,0.473,0.458,Data Tampering,0.425,95,76.42,17.39,3.308,P6->P18->P23,38.22,0.838,0
N93,0.74,0.918,0.829,Selective Forwarding,0.1,85,94.67,47.43,4.09,P8->P12->P29,20.89,0.94,0
N153,0.756,0.85,0.803,Packet Drop,0.417,81,63.59,15.83,1.507,P6->P13->P22,1.12,0.994,0
N170,0.827,0.486,0.656,Normal,0.831,30,69.34,29.26,1.727,P7->P11->P27,42.88,0.935,0
N35,0.94,0.548,0.744,Normal,0.951,33,81.7,24.36,3.234,P9->P12->P22,0.97,0.263,0
N103,0.853,0.68,0.766,Normal,0.462,26,57.0,26.19,3.152,P8->P12->P25,31.75,0.201,0
N112,0.705,0.913,0.809,Sybil Attack,0.657,80,88.71,43.85,0.599,P1->P12->P23,34.74,0.03,1
N117,0.769,0.892,0.83,Normal,0.308,95,88.75,48.2,2.931,P8->P19->P26,43.4,0.514,0
N186,0.216,0.972,0.594,Normal,0.156,97,74.34,11.93,1.94,P3->P18->P24,33.48,0.344,0
N143,0.72,0.523,0.621,Packet Drop,0.15,90,97.53,27.22,1.726,P6->P16->P25,41.33,0.165,0
N7,0.304,0.564,0.434,Normal,0.331,53,87.25,18.14,4.598,P8->P14->P24,6.05,0.194,0
N142,0.67,0.737,0.704,Normal,0.181,92,78.08,29.77,3.417,P1->P13->P30,51.87,0.525,0
N96,0.469,0.746,0.607,Sybil Attack,0.774,29,85.84,15.72,2.076,P7->P15->P25,35.96,0.708,1
N39,0.585,0.746,0.666,Sybil Attack,0.222,39,73.65,47.21,4.096,P6->P18->P25,32.86,0.563,0
N95,0.616,0.621,0.618,Normal,0.597,99,62.64,6.52,3.392,P1->P18->P28,39.38,0.005,0
N175,0.215,0.783,0.499,Normal,0.389,37,93.16,39.79,3.22,P10->P14->P23,6.62,0.36,0
N81,0.92,0.784,0.852,Packet Drop,0.814,26,89.32,18.46,0.947,P4->P15->P22,15.34,0.716,1
N39,0.271,0.575,0.423,Normal,0.066,65,72.68,22.75,3.508,P1->P11->P29,2.91,0.528,0
N71,0.339,0.33,0.334,Normal,0.528,20,58.54,5.17,2.578,P3->P15->P30,56.81,0.002,0
N176,0.863,0.594,0.728,Normal,0.28,15,84.75,30.73,3.325,P8->P17->P21,36.57,0.332,0
N70,0.642,0.404,0.523,Normal,0.847,94,79.42,13.64,4.271,P7->P20->P26,29.69,0.957,0
N158,0.239,0.493,0.366,Data Tampering,0.306,19,64.47,46.91,1.222,P9->P12->P24,18.52,0.05,0
N42,0.31,0.952,0.631,Normal,0.184,48,73.46,22.1,1.993,P6->P17->P27,13.95,0.698,0
N157,0.702,0.75,0.726,Normal,0.62,58,69.76,5.19,1.284,P8->P17->P28,50.99,0.459,0
N8,0.314,0.652,0.483,Normal,0.728,72,71.5,44.88,1.682,P10->P18->P29,53.98,0.898,0
N83,0.477,0.832,0.654,Normal,0.938,59,79.11,11.9,3.014,P4->P17->P27,44.87,0.185,0
N186,0.751,0.212,0.482,Data Tampering,0.799,20,60.92,28.6,0.759,P5->P13->P22,36.24,0.626,1
N44,0.349,0.929,0.639,Normal,0.321,75,82.52,28.47,3.181,P6->P17->P28,54.83,0.717,0
N103,0.427,0.3,0.364,Normal,0.188,15,70.49,17.37,4.292,P8->P18->P29,18.02,0.7,0
N83,0.778,0.902,0.84,Packet Drop,0.009,69,69.37,26.46,3.729,P9->P19->P29,59.4,0.079,0
N114,0.738,0.289,0.514,Packet Drop,0.831,64,76.59,11.87,4.931,P9->P12->P28,58.05,0.479,1
N156,0.413,0.491,0.452,Packet Drop,0.227,15,90.12,30.66,1.36,P10->P15->P26,46.85,0.538,0
N195,0.638,0.725,0.682,Normal,0.903,25,85.2,13.62,1.068,P10->P11->P23,3.77,0.861,0
N98,0.646,0.314,0.48,Normal,0.666,97,90.15,24.79,3.296,P1->P14->P24,23.15,0.953,0
N180,0.614,0.716,0.665,Normal,0.006,83,60.06,46.99,4.45,P4->P20->P28,36.24,0.954,0
N187,0.68,0.785,0.732,Packet Drop,0.8,62,85.43,43.63,1.99,P9->P17->P30,37.25,0.432,1
N81,0.462,0.802,0.632,Normal,0.76,78,96.47,41.68,3.631,P5->P17->P30,41.73,0.057,0
N194,0.851,0.809,0.83,Data Tampering,0.374,87,78.1,27.73,3.394,P9->P18->P22,55.15,0.92,0
N85,0.901,0.47,0.686,Data Tampering,0.823,24,81.29,28.09,4.951,P9->P20->P23,15.01,0.739,1
N178,0.888,0.385,0.637,Normal,0.821,22,62.14,26.95,2.369,P5->P11->P26,16.78,0.258,0
N128,0.438,0.318,0.378,Normal,0.353,23,72.61,36.63,1.842,P5->P13->P28,15.15,0.206,0
N119,0.858,0.23,0.544,Normal,0.86,85,69.91,32.74,4.308,P8->P11->P21,20.11,0.836,0
N96,0.778,0.626,0.702,Selective Forwarding,0.913,58,91.02,33.05,4.16,P9->P14->P22,12.34,0.359,1
N167,0.957,0.248,0.602,Normal,0.029,72,51.2,21.45,1.006,P8->P11->P26,39.51,0.565,0
N175,0.344,0.213,0.278,Normal,0.541,49,58.07,17.24,4.918,P2->P11->P27,14.28,0.865,0
N108,0.269,0.848,0.558,Normal,0.742,97,87.81,37.97,4.811,P10->P14->P27,17.17,0.434,0
N173,0.891,0.948,0.92,Normal,0.042,79,58.11,33.24,3.446,P10->P18->P23,0.18,0.538,0
N41,0.295,0.239,0.267,Normal,0.231,85,71.71,18.03,1.854,P2->P19->P29,6.15,0.021,0
N70,0.929,0.695,0.812,Normal,0.167,26,66.91,43.74,1.656,P3->P12->P27,52.4,0.878,0
N35,0.624,0.912,0.768,Data Tampering,0.196,81,56.14,23.77,4.705,P4->P15->P28,42.26,0.833,0
N138,0.495,0.202,0.349,Data Tampering,0.749,56,62.33,30.51,4.419,P9->P11->P22,20.33,0.657,1
N93,0.697,0.852,0.774,Normal,0.941,68,87.0,16.11,4.81,P1->P11->P30,13.43,0.716,0
N120,0.466,0.503,0.485,Normal,0.376,91,52.88,31.95,0.863,P2->P13->P23,33.33,0.759,0
N136,0.969,0.673,0.821,Normal,0.921,51,98.51,35.78,4.671,P6->P13->P28,54.97,0.914,0
N2,0.252,0.318,0.285,Packet Drop,0.584,98,68.88,30.11,2.208,P9->P12->P29,56.27,0.913,1
N191,0.907,0.541,0.724,Normal,0.512,10,78.06,27.48,4.164,P5->P16->P24,28.84,0.879,0
N164,0.346,0.823,0.584,Normal,0.54,69,82.46,35.09,1.159,P3->P18->P29,40.75,0.632,0
N28,0.288,0.995,0.642,Normal,0.056,94,85.88,31.25,1.118,P1->P14->P23,27.54,0.458,0
N15,0.662,0.514,0.588,Normal,0.386,85,96.41,21.0,1.829,P5->P16->P21,27.7,0.941,0
N74,0.609,0.498,0.554,Sybil Attack,0.321,21,65.85,22.0,0.763,P7->P19->P25,25.28,0.191,0
N48,0.261,0.48,0.37,Sybil Attack,0.35,18,80.59,28.24,1.975,P7->P13->P30,39.47,0.454,0
N178,0.336,0.484,0.41,Packet Drop,0.99,37,94.53,23.65,3.924,P10->P12->P24,36.31,0.454,1
N7,0.81,0.388,0.599,Sybil Attack,0.146,91,83.6,16.94,1.13,P2->P11->P29,55.24,0.635,0
N140,0.231,0.217,0.224,Normal,0.599,70,67.76,35.82,0.67,P5->P19->P28,13.09,0.475,0
N3,0.233,0.667,0.45,Normal,0.736,10,65.92,26.27,3.956,P7->P17->P23,27.24,0.419,0
N15,0.736,0.995,0.865,Normal,0.35,84,54.38,47.57,4.867,P6->P11->P27,27.2,0.722,0
N151,0.427,0.28,0.354,Normal,0.283,48,77.96,24.91,4.558,P10->P12->P30,57.42,0.325,0
N148,0.251,0.214,0.232,Selective Forwarding,0.796,64,65.27,10.77,1.1,P9->P15->P28,30.25,0.257,1
N33,0.846,0.651,0.748,Normal,0.456,55,81.35,40.68,2.136,P1->P20->P24,9.8,0.228,0
N135,0.349,0.575,0.462,Normal,0.954,99,99.67,28.76,4.357,P5->P17->P30,37.34,0.412,0
N140,0.546,0.853,0.7,Normal,0.946,77,64.4,9.84,3.205,P10->P19->P23,12.17,0.382,0
N36,0.858,0.534,0.696,Selective Forwarding,0.066,17,85.33,24.76,4.504,P4->P15->P25,28.75,0.211,0
N146,0.806,0.739,0.772,Sybil Attack,0.909,52,84.06,44.12,2.746,P4->P17->P28,22.02,0.048,1
N74,0.233,0.945,0.589,Normal,0.564,28,91.54,17.34,1.616,P1->P18->P26,0.05,0.86,0
N2,0.665,0.39,0.528,Normal,0.903,54,77.52,16.15,4.688,P9->P18->P24,55.35,0.274,0
N64,0.981,0.344,0.662,Normal,0.348,53,66.32,44.2,1.11,P6->P17->P21,42.37,0.06,0
N99,0.502,0.213,0.358,Normal,0.318,11,91.93,42.88,4.295,P5->P15->P26,10.39,0.348,0
N175,0.855,0.738,0.796,Normal,0.381,67,70.31,37.64,4.53,P1->P20->P30,17.88,0.847,0
N129,0.96,0.571,0.766,Data Tampering,0.994,98,82.6,27.75,1.731,P5->P18->P29,35.91,0.35,1
N15,0.43,0.305,0.368,Sybil Attack,0.812,76,85.41,25.5,1.086,P4->P18->P30,27.76,0.612,1
N21,0.823,0.965,0.894,Packet Drop,0.29,43,58.79,30.32,0.556,P1->P18->P24,57.85,0.201,0
N146,0.853,0.734,0.794,Sybil Attack,0.367,53,50.99,8.36,4.879,P5->P13->P25,13.52,0.427,0
N16,0.837,0.303,0.57,Data Tampering,0.814,75,82.03,18.36,1.326,P9->P11->P21,49.67,0.018,1
N6,0.435,0.387,0.411,Normal,0.915,52,74.91,38.88,3.193,P7->P20->P26,7.3,0.382,0
N9,0.746,0.757,0.752,Normal,0.605,89,99.74,12.73,3.054,P6->P12->P25,39.6,0.296,0
N48,0.694,0.796,0.745,Normal,0.162,24,56.95,40.92,4.363,P5->P17->P21,19.76,0.717,0
N166,0.381,0.632,0.506,Normal,0.93,17,63.22,30.26,1.368,P10->P11->P25,37.81,0.446,0
N18,0.919,0.681,0.8,Normal,0.8,55,94.8,33.58,1.037,P5->P20->P22,37.81,0.901,0
N158,0.211,0.958,0.584,Normal,0.465,78,87.33,20.22,4.049,P8->P18->P27,1.95,0.573,0
N72,0.577,0.215,0.396,Normal,0.364,81,91.11,38.31,3.076,P6->P20->P22,33.75,0.38,0
N92,0.784,0.768,0.776,Normal,0.362,95,60.69,35.02,1.958,P2->P11->P21,59.06,0.946,0
N151,0.641,0.211,0.426,Normal,0.849,16,61.35,7.94,4.6,P7->P17->P24,10.81,0.685,0
N8,0.286,0.893,0.59,Normal,0.507,75,95.81,38.17,3.036,P4->P12->P24,27.51,0.732,0
N128,0.521,0.21,0.366,Normal,0.256,54,57.12,34.65,4.86,P4->P13->P27,55.78,0.241,0
N96,0.572,0.461,0.516,Normal,0.215,30,95.14,38.47,2.587,P9->P11->P21,49.78,0.408,0
N168,0.747,0.757,0.752,Sybil Attack,0.27,54,91.85,16.46,3.406,P5->P13->P27,6.58,0.682,0
N28,0.724,0.889,0.806,Packet Drop,0.503,65,67.14,34.08,3.801,P6->P16->P23,46.95,0.559,1
N102,0.46,0.659,0.56,Normal,0.357,43,75.76,47.41,1.067,P4->P17->P21,12.68,0.995,0
N52,0.587,0.447,0.517,Selective Forwarding,0.124,31,71.16,28.0,4.233,P1->P18->P28,59.86,0.173,0
N18,0.464,0.907,0.686,Normal,0.771,99,78.23,8.79,4.595,P6->P18->P26,27.04,0.679,0
N109,0.888,0.703,0.796,Normal,0.156,19,60.17,44.42,0.654,P7->P13->P28,16.11,0.338,0
N111,0.548,0.532,0.54,Normal,0.065,20,68.95,15.42,1.133,P4->P20->P30,9.74,0.365,0
N71,0.377,0.539,0.458,Normal,0.115,75,50.44,21.43,3.145,P1->P16->P29,10.72,0.165,0
N153,0.221,0.833,0.527,Normal,0.44,88,84.92,31.21,4.751,P8->P15->P25,32.58,0.902,0
N82,0.452,0.713,0.582,Packet Drop,0.04,82,61.88,42.83,1.254,P10->P15->P22,29.01,0.417,0
N193,0.514,0.607,0.56,Normal,0.309,60,86.63,14.32,4.978,P1->P18->P28,5.29,0.804,0
N113,0.95,0.975,0.962,Normal,0.279,32,91.35,34.48,4.795,P6->P12->P24,13.74,0.657,0
N143,0.261,0.64,0.45,Normal,0.649,13,78.4,49.2,2.751,P1->P15->P26,31.99,0.388,0
N115,0.46,0.682,0.571,Packet Drop,0.226,73,52.91,12.56,4.267,P2->P11->P25,17.29,0.006,0
N135,0.604,0.331,0.468,Normal,0.625,97,53.27,40.36,1.265,P5->P12->P23,47.58,0.887,0
N142,0.665,0.214,0.44,Normal,0.201,90,73.13,12.55,1.442,P3->P18->P28,28.96,0.308,0
N28,0.782,0.902,0.842,Normal,0.11,98,93.14,38.03,1.999,P4->P19->P24,27.74,0.228,0
N170,0.891,0.224,0.558,Normal,0.988,70,70.34,20.38,4.591,P5->P20->P21,3.32,0.718,0
N162,0.891,0.232,0.562,Normal,0.805,39,96.88,30.86,3.571,P4->P17->P22,1.01,0.132,0
N148,0.686,0.31,0.498,Normal,0.391,85,69.88,20.26,0.821,P3->P11->P24,32.22,0.166,0
N3,0.846,0.442,0.644,Normal,0.08,51,61.12,41.57,3.339,P9->P19->P28,22.43,0.253,0
N98,0.845,0.803,0.824,Normal,0.608,59,64.7,46.48,0.582,P5->P15->P26,51.67,0.078,0
N25,0.226,0.277,0.252,Normal,0.081,29,79.05,35.85,1.279,P8->P16->P22,8.56,0.221,0
N21,0.237,0.392,0.314,Normal,0.237,33,82.99,29.0,2.541,P3->P15->P28,30.5,0.943,0
N32,0.353,0.578,0.465,Normal,0.141,56,54.96,38.86,1.4,P2->P18->P30,25.04,0.266,0
N182,0.686,0.674,0.68,Normal,0.768,39,93.62,36.9,2.838,P6->P11->P29,40.86,0.634,0
N76,0.646,0.664,0.655,Normal,0.872,94,88.81,11.96,4.451,P1->P13->P22,31.76,0.425,0
N88,0.341,0.254,0.298,Packet Drop,0.285,40,61.97,15.39,2.702,P9->P12->P25,55.03,0.397,0
N19,0.593,0.441,0.517,Normal,0.545,54,71.03,46.17,3.161,P1->P18->P23,33.85,0.834,0
N8,0.503,0.222,0.362,Normal,0.732,73,61.37,37.8,0.67,P10->P11->P26,53.25,0.455,0
N114,0.951,0.904,0.928,Packet Drop,0.054,57,86.49,27.6,2.525,P10->P16->P22,11.79,0.126,0
N65,0.863,0.277,0.57,Normal,0.473,21,88.39,24.99,1.497,P3->P15->P23,36.27,0.193,0
N137,0.261,0.944,0.602,Normal,0.991,87,98.87,36.07,0.64,P9->P14->P21,10.15,0.255,0
N139,0.687,0.855,0.771,Packet Drop,0.548,71,94.36,13.21,3.845,P4->P20->P29,32.15,0.848,1
N168,0.342,0.247,0.294,Selective Forwarding,0.648,46,89.65,37.96,0.718,P10->P13->P24,26.26,0.412,1
N155,0.756,0.769,0.762,Normal,0.638,67,75.42,16.72,0.935,P6->P14->P26,43.01,0.408,0
N178,0.547,0.717,0.632,Data Tampering,0.131,42,64.25,21.62,2.413,P9->P14->P21,44.09,0.604,0
N153,0.282,0.903,0.592,Normal,0.74,91,79.06,18.01,1.103,P10->P17->P26,0.07,0.488,0
N78,0.427,0.547,0.487,Normal,0.795,74,60.09,14.89,2.295,P7->P13->P30,14.17,0.135,0
N183,0.253,0.236,0.244,Data Tampering,0.091,80,59.53,8.58,1.217,P10->P13->P25,1.44,0.275,0
N107,0.408,0.491,0.45,Normal,0.138,41,93.05,11.32,3.795,P8->P20->P22,10.07,0.037,0
N96,0.715,0.297,0.506,Normal,0.445,78,97.47,11.85,2.483,P5->P14->P24,57.09,0.618,0
N143,0.297,0.443,0.37,Normal,0.84,29,93.71,48.66,2.704,P1->P15->P21,2.18,0.336,0
N59,0.515,0.312,0.414,Sybil Attack,0.069,90,75.06,5.52,4.817,P8->P20->P25,46.61,0.648,0
N111,0.952,0.769,0.86,Normal,0.996,58,94.7,6.38,4.555,P8->P14->P30,48.02,0.98,0
N98,0.603,0.606,0.604,Normal,0.939,50,63.64,35.44,4.873,P9->P17->P30,29.64,0.239,0
N62,0.826,0.344,0.585,Data Tampering,0.916,60,56.22,12.13,0.668,P7->P18->P21,41.82,0.029,1
N119,0.986,0.212,0.599,Packet Drop,0.92,66,55.54,17.59,2.883,P1->P19->P21,32.41,0.543,1
N159,0.68,0.457,0.568,Normal,0.047,99,76.12,18.32,4.161,P8->P11->P21,40.73,0.692,0
N41,0.739,0.889,0.814,Normal,0.296,79,69.6,42.3,4.855,P7->P11->P28,44.11,0.832,0
N25,0.296,0.832,0.564,Normal,0.826,57,83.28,47.72,3.916,P10->P14->P29,19.03,0.137,0
N128,0.436,0.822,0.629,Sybil Attack,0.286,32,86.78,17.97,3.07,P10->P13->P21,43.56,0.278,0
N79,0.42,0.452,0.436,Normal,0.324,79,88.64,12.39,2.227,P9->P20->P22,17.71,0.172,0
N88,0.464,0.456,0.46,Normal,0.082,74,62.11,11.4,3.179,P4->P19->P26,24.61,0.835,0
N197,0.809,0.649,0.729,Data Tampering,0.701,29,89.53,13.55,3.164,P7->P11->P24,7.64,0.773,1
N101,0.884,0.946,0.915,Normal,0.806,42,60.73,43.81,0.887,P5->P16->P28,39.49,0.086,0
N137,0.739,0.711,0.725,Normal,0.872,61,85.4,6.72,4.277,P10->P17->P23,47.48,0.597,0
N69,0.921,0.555,0.738,Data Tampering,0.971,25,82.4,43.3,4.832,P1->P19->P24,17.9,0.116,1
N180,0.358,0.789,0.574,Normal,0.8,53,55.53,39.92,1.183,P5->P13->P29,26.24,0.5,0
N162,0.305,0.935,0.62,Data Tampering,0.115,65,64.14,36.15,0.844,P6->P12->P28,56.75,0.536,0
N154,0.408,0.758,0.583,Normal,0.259,27,90.62,30.99,1.756,P7->P19->P21,11.53,0.179,0
N167,0.757,0.744,0.75,Selective Forwarding,0.919,36,95.19,15.36,3.385,P10->P20->P28,30.41,0.332,1
N142,0.667,0.853,0.76,Normal,0.946,53,69.26,47.28,4.244,P2->P17->P28,24.22,0.18,0
N151,0.81,0.488,0.649,Normal,0.322,83,77.32,12.65,4.915,P2->P14->P28,26.52,0.412,0
N78,0.618,0.495,0.556,Normal,0.36,45,57.59,12.76,3.242,P5->P12->P22,1.27,0.535,0
N28,0.726,0.938,0.832,Normal,0.23,43,52.25,41.87,0.817,P10->P15->P26,57.7,0.929,0
N174,0.317,0.517,0.417,Normal,0.315,43,62.01,8.75,1.121,P6->P11->P23,19.48,0.43,0
N38,0.726,0.681,0.704,Normal,0.485,14,81.83,13.53,4.053,P6->P15->P24,24.76,0.9,0
N173,0.587,0.607,0.597,Normal,0.59,81,70.69,18.48,2.404,P9->P12->P28,17.55,0.26,0
N104,0.203,0.388,0.296,Normal,0.266,73,79.72,17.84,4.789,P2->P11->P24,41.78,0.043,0
N22,0.292,0.364,0.328,Data Tampering,0.159,48,93.08,35.99,0.725,P10->P14->P21,33.88,0.652,0
N37,0.696,0.856,0.776,Normal,0.053,65,94.94,22.5,0.885,P3->P12->P22,15.96,0.092,0
N126,0.806,0.452,0.629,Sybil Attack,0.246,96,71.23,30.19,0.916,P10->P20->P25,4.93,0.911,0
N87,0.64,0.999,0.82,Normal,0.002,17,51.77,15.78,2.675,P9->P16->P22,54.57,0.045,0
N33,0.641,0.507,0.574,Sybil Attack,0.102,22,97.82,35.18,2.954,P4->P17->P22,40.59,0.631,0
N110,0.217,0.527,0.372,Normal,0.133,52,71.55,11.73,3.217,P9->P16->P23,34.54,0.194,0
N107,0.277,0.545,0.411,Selective Forwarding,0.158,49,69.21,17.26,0.895,P4->P14->P25,4.69,0.423,0
N155,0.85,0.429,0.64,Normal,0.658,83,83.76,32.08,4.168,P9->P18->P30,7.21,0.714,0
N180,0.282,0.705,0.493,Sybil Attack,0.934,13,84.99,30.47,3.429,P6->P20->P25,41.47,0.574,1
